[12,   0,    0,    0,    0,   0,   0,   0,   0,   0,   0,   0,   0  ]
[168,  24,   0,    0,    0,   0,   0,   0,   0,   0,   0,   0,   0  ]
[312,  180,  36,   0,    0,   0,   0,   0,   0,   0,   0,   0,   0  ]
[444,  324,  192,  48,   0,   0,   0,   0,   0,   0,   0,   0,   0  ]
[564,  456,  336,  204,  60,  0,   0,   0,   0,   0,   0,   0,   0  ]
[672,  576,  468,  348,  216, 72,  0,   0,   0,   0,   0,   0,   0  ]
[768,  684,  588,  480,  360, 228, 84,  0,   0,   0,   0,   0,   0  ]
[852,  780,  696,  600,  492, 372, 240, 96,  0,   0,   0,   0,   0  ]
[924,  864,  792,  708,  612, 504, 384, 252, 108, 0,   0,   0,   0  ]
[984,  936,  876,  804,  720, 624, 516, 396, 264, 120, 0,   0,   0  ]
[1032, 996,  948,  888,  816, 732, 636, 528, 408, 276, 132, 0,   0  ]
[1068, 1044, 1008, 960,  900, 828, 744, 648, 540, 420, 288, 144, 0  ]
[1092, 1080, 1056, 1020, 972, 912, 840, 756, 660, 552, 432, 300, 156]
